"","nlcd","elevation","aspect","slope","x","y","aspect_categorical","animal_id","use"
"17329",6,2084.02954101562,131.914703369141,5.12972211837769,-1127520,1724760,"E","D12",0
"25002",7,2069.79150390625,171.360046386719,4.23703145980835,-1127730,1724280,"S","D12",0
"17332",7,2079.5771484375,125.65217590332,4.1707820892334,-1127430,1724760,"E","D12",0
"25965",7,2060.28100585938,227.720626831055,2.72725772857666,-1127640,1724220,"W","D12",0
"20688",6,2078.96313476562,118.272994995117,5.02010297775269,-1127550,1724550,"E","D12",0
"19726",6,2087.78295898438,95.9765396118164,4.86808109283447,-1127610,1724610,"E","D12",0
"25001",7,2068.50756835938,196.695388793945,3.38709449768066,-1127760,1724280,"S","D12",0
"26441",7,2064.5537109375,106.917388916016,3.7643780708313,-1127760,1724190,"E","D12",0
"18770",6,2078.42895507812,145.722671508789,4.33132886886597,-1127490,1724670,"S","D12",0
"21643",6,2082.23315429688,130.96337890625,6.4016695022583,-1127700,1724490,"E","D12",0
"27876",7,2072.45776367188,83.7346267700195,5.28478193283081,-1127910,1724100,"E","D12",0
"26918",7,2070.30517578125,107.668380737305,3.4984335899353,-1127850,1724160,"E","D12",0
"24524",6,2065.8759765625,119.98445892334,7.97394561767578,-1127670,1724310,"E","D12",0
"187701",6,2078.42895507812,145.722671508789,4.33132886886597,-1127490,1724670,"S","D12",0
"278761",7,2072.45776367188,83.7346267700195,5.28478193283081,-1127910,1724100,"E","D12",0
"19248",6,2080.53662109375,81.0702743530273,5.50038862228394,-1127550,1724640,"E","D12",0
"19729",6,2078.26635742188,85.2665100097656,5.34811449050903,-1127520,1724610,"E","D12",0
"25004",7,2063.22631835938,118.059921264648,7.12218999862671,-1127670,1724280,"E","D12",0
"27398",7,2069.44189453125,113.466339111328,3.41439032554626,-1127850,1724130,"E","D12",0
"25962",7,2064.9501953125,149.982116699219,4.2892017364502,-1127730,1724220,"S","D12",0
"197291",6,2078.26635742188,85.2665100097656,5.34811449050903,-1127520,1724610,"E","D12",0
"27879",7,2066.79321289062,108.168395996094,3.93076086044312,-1127820,1724100,"E","D12",0
"28357",7,2069.5986328125,93.0317001342773,4.70617532730103,-1127880,1724070,"E","D12",0
"19727",6,2084.39233398438,88.3739166259766,6.6967396736145,-1127580,1724610,"E","D12",0
"178081",6,2084.20776367188,122.990287780762,5.32391977310181,-1127550,1724730,"E","D12",0
"278791",7,2066.79321289062,108.168395996094,3.93076086044312,-1127820,1724100,"E","D12",0
"19731",7,2071.21069335938,111.719734191895,6.92655038833618,-1127460,1724610,"E","D12",0
"24999",7,2069.79760742188,94.4147186279297,3.45044684410095,-1127820,1724280,"E","D12",0
"20207",6,2083.35083007812,111.42992401123,6.78703260421753,-1127580,1724580,"E","D12",0
"20205",6,2087.73315429688,150.031799316406,4.08467531204224,-1127640,1724580,"S","D12",0
"23564",6,2071.19360351562,132.722763061523,6.5105037689209,-1127670,1724370,"E","D12",0
"16371",6,2084.58129882812,116.574554443359,5.72044277191162,-1127460,1724820,"E","D12",0
"20210",6,2074.38134765625,91.6338119506836,7.46820783615112,-1127490,1724580,"E","D12",0
"211661",6,2080.19213867188,140.099838256836,6.12221002578735,-1127610,1724520,"S","D12",0
"24045",6,2065.57177734375,132.324966430664,7.10056686401367,-1127640,1724340,"E","D12",0
"25963",7,2063.85717773438,118.656356811523,5.82488632202148,-1127700,1724220,"E","D12",0
"27401",7,2063.48852539062,110.722389221191,4.6934494972229,-1127760,1724130,"E","D12",0
"20689",6,2076.85888671875,108.2119140625,5.54972982406616,-1127520,1724550,"E","D12",0
"173291",6,2084.02954101562,131.914703369141,5.12972211837769,-1127520,1724760,"E","D12",0
"19246",6,2087.466796875,75.7345428466797,4.80782413482666,-1127610,1724640,"E","D12",0
"28359",7,2065.91040039062,111.830337524414,3.80029582977295,-1127820,1724070,"E","D12",0
"254811",7,2066.92456054688,167.801818847656,3.35623669624329,-1127760,1724250,"S","D12",0
"21164",6,2083.15454101562,150.61767578125,5.87170028686523,-1127670,1724520,"S","D12",0
"18767",6,2083.80249023438,90.7050247192383,6.14441728591919,-1127580,1724670,"E","D12",0
"216441",6,2080.06689453125,147.048248291016,5.3735556602478,-1127670,1724490,"S","D12",0
"24527",7,2062.359375,249.909286499023,2.70380711555481,-1127580,1724310,"W","D12",0
"27877",7,2069.98193359375,99.696662902832,4.06841135025024,-1127880,1724100,"E","D12",0
"20685",6,2085.24389648438,151.296813964844,5.89562463760376,-1127640,1724550,"S","D12",0
"25003",6,2067.35620117188,117.921783447266,7.72685718536377,-1127700,1724280,"E","D12",0
"250041",7,2063.22631835938,118.059921264648,7.12218999862671,-1127670,1724280,"E","D12",0
"259631",7,2063.85717773438,118.656356811523,5.82488632202148,-1127700,1724220,"E","D12",0
"17809",6,2082.54321289062,130.464431762695,4.34550666809082,-1127520,1724730,"E","D12",0
"19251",6,2073.80932617188,130.281814575195,7.08230686187744,-1127460,1724640,"E","D12",0
"27878",7,2068.35620117188,112.463569641113,3.46856665611267,-1127850,1724100,"E","D12",0
"24040",7,2070.42846679688,169.739654541016,3.13064694404602,-1127790,1724340,"S","D12",0
"18290",6,2080.02758789062,140.976303100586,3.37961888313293,-1127490,1724700,"S","D12",0
"21167",6,2078.86206054688,137.273880004883,5.09344625473022,-1127580,1724520,"S","D12",0
"21647",6,2076.8125,143.703643798828,4.86484718322754,-1127580,1724490,"S","D12",0
"21649",6,2073.73754882812,119.160842895508,6.33635759353638,-1127520,1724490,"E","D12",0
"23088",7,2067.05322265625,149.53564453125,6.22428274154663,-1127550,1724400,"S","D12",0
"211641",6,2083.15454101562,150.61767578125,5.87170028686523,-1127670,1724520,"S","D12",0
"25000",7,2068.21533203125,133.410064697266,2.71037292480469,-1127790,1724280,"E","D12",0
